unique_number,id_no,name_en,date_inscribed,category,name_en
1110,949,My Son Sanctuary,1999,Cultural,Asia and the Pacific
1118,955,Lorentz National Park,1999,Natural,Asia and the Pacific
1071,917,Greater Blue Mountains Area,2000,Natural,Asia and the Pacific
1167,1001,Mount Qingcheng and the Dujiangyan Irrigation System,2000,Cultural,Asia and the Pacific
1168,1002,Ancient Villages in Southern Anhui _ Xidi and Hongcun,2000,Cultural,Asia and the Pacific
1169,1003,Longmen Grottoes,2000,Cultural,Asia and the Pacific
1172,1004,Imperial Tombs of the Ming and Qing Dynasties,2000,Cultural,Asia and the Pacific
1136,972,Gusuku Sites and Related Properties of the Kingdom of Ryukyu,2000,Cultural,Asia and the Pacific
1182,1012,Kinabalu Park,2000,Natural,Asia and the Pacific
1183,1013,Gunung Mulu National Park,2000,Natural,Asia and the Pacific
1140,976,Gyeongju Historic Areas,2000,Cultural,Asia and the Pacific
1141,977,"Gochang, Hwasun and Ganghwa Dolmen Sites",2000,Cultural,Asia and the Pacific
1037,885,Historic Centre of Shakhrisyabz,2000,Cultural,Asia and the Pacific
1213,1039,Yungang Grottoes,2001,Cultural,Asia and the Pacific
560,481,Vat Phou and Associated Ancient Settlements within the Champasak Cultural Landscape,2001,Cultural,Asia and the Pacific
715,603,Samarkand  _ Crossroad of Cultures,2001,Cultural,Asia and the Pacific
234,211,Minaret and Archaeological Remains of Jam,2002,Cultural,Asia and the Pacific
1231,1056,Mahabodhi Temple Complex at Bodh Gaya,2002,Cultural,Asia and the Pacific
230,208,Cultural Landscape and Archaeological Remains of the Bamiyan Valley,2003,Cultural,Asia and the Pacific
1272,1094,Purnululu National Park,2003,Natural,Asia and the Pacific
1731,1083,Three Parallel Rivers of Yunnan Protected Areas,2003,Natural,Asia and the Pacific
1079,925,Rock Shelters of Bhimbetka,2003,Cultural,Asia and the Pacific
1254,1077,Takht-e Soleyman,2003,Cultural,Asia and the Pacific
1281,1103,Mausoleum of Khoja Ahmed Yasawi,2003,Cultural,Asia and the Pacific
2059,951,Phong Nha-Ke Bang National Park,2003,Natural,Asia and the Pacific
909,769,Uvs Nuur Basin,2003,Natural,Asia and the Pacific
1730,1131,Royal Exhibition Building and Carlton Gardens,2004,Cultural,Asia and the Pacific
